FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
204,201834981158,746.4219,746,1215,-66.3,696,0.7,150,01_raw_frames\frame_0204.csv,02_lde_aligned\frame_0204_aligned.csv,20.3001177408541
205,208224775404,746.125,746,1149,-65.92,696,0.7,150,01_raw_frames\frame_0205.csv,02_lde_aligned\frame_0205_aligned.csv,20.4001182768054
206,214614570139,745.2187,745,1214,-65.57,695,0.7,150,01_raw_frames\frame_0206.csv,02_lde_aligned\frame_0206_aligned.csv,20.5001188204095
207,221004364864,752.1875,752,1317,-65.8,702,0.7,150,01_raw_frames\frame_0207.csv,02_lde_aligned\frame_0207_aligned.csv,20.6001193638572
208,227394159624,750.125,750,1253,-68.2,700,0.7,150,01_raw_frames\frame_0208.csv,02_lde_aligned\frame_0208_aligned.csv,20.7001199078526
209,233783954294,748.1719,748,1470,-70.82,698,0.7,150,01_raw_frames\frame_0209.csv,02_lde_aligned\frame_0209_aligned.csv,20.8001204504395
210,240173748447,746.2969,746,1122,-65.94,696,0.7,150,01_raw_frames\frame_0210.csv,02_lde_aligned\frame_0210_aligned.csv,20.9001209849353
211,246563543060,752.25,752,1235,-66.05,702,0.7,150,01_raw_frames\frame_0211.csv,02_lde_aligned\frame_0211_aligned.csv,21.0001215266301
212,252953337745,748.2031,748,1345,-70.13,698,0.7,150,01_raw_frames\frame_0212.csv,02_lde_aligned\frame_0212_aligned.csv,21.1001220694517
213,259343132362,746.3125,746,1336,-68.97,696,0.7,150,01_raw_frames\frame_0213.csv,02_lde_aligned\frame_0213_aligned.csv,21.2001226112092
214,265732926975,750.7187,750,1276,-67.54,700,0.7,150,01_raw_frames\frame_0214.csv,02_lde_aligned\frame_0214_aligned.csv,21.300123152904
215,272122721016,747.1406,747,1131,-63.85,697,0.7,150,01_raw_frames\frame_0215.csv,02_lde_aligned\frame_0215_aligned.csv,21.400123685647
216,278512515597,751.1406,751,1120,-65.72,701,0.7,150,01_raw_frames\frame_0216.csv,02_lde_aligned\frame_0216_aligned.csv,21.5001242268411
217,284902310097,746.1719,746,1339,-69.26,696,0.7,150,01_raw_frames\frame_0217.csv,02_lde_aligned\frame_0217_aligned.csv,21.6001247667675
218,291292104605,749.6094,749,1152,-64.26,699,0.7,150,01_raw_frames\frame_0218.csv,02_lde_aligned\frame_0218_aligned.csv,21.700125306819
219,297681899128,753.1875,753,1191,-66.19,703,0.7,150,01_raw_frames\frame_0219.csv,02_lde_aligned\frame_0219_aligned.csv,21.8001258471054
220,304071693138,748.1562,748,1274,-68.11,698,0.7,150,01_raw_frames\frame_0220.csv,02_lde_aligned\frame_0220_aligned.csv,21.9001263793632
